abs_word_idx,timestamp_s,packet_num,frame_length,passed_valid
0,0.0,5,737,0
737,9.2125e-05,7,250,1
987,0.000123375,0,250,1
1237,0.000154625,1,250,1
1487,0.000185875,2,250,1
1737,0.000217125,3,250,1
1987,0.000248375,4,250,1
2237,0.000279625,5,250,1
2487,0.000310875,6,250,1
2737,0.000342125,7,250,1
2987,0.000373375,0,250,1
3237,0.000404625,1,248,1
3485,0.000435625,2,250,1
3735,0.000466875,3,250,1
3985,0.000498125,4,250,1
4235,0.000529375,5,250,1
4485,0.000560625,6,250,1
4735,0.000591875,7,250,1
4985,0.000623125,0,250,1
5235,0.000654375,1,250,1
5485,0.000685625,2,250,1
5735,0.000716875,3,250,1
5985,0.000748125,4,250,1
6235,0.000779375,5,250,1
6485,0.000810625,6,250,1
6735,0.000841875,7,250,1
6985,0.000873125,0,250,1
7235,0.000904375,1,250,1
7485,0.000935625,2,250,1
7735,0.000966875,3,250,1
7985,0.000998125,4,248,1
8233,0.001029125,5,250,1
8483,0.001060375,6,250,1
8733,0.001091625,7,250,1
8983,0.001122875,0,250,1
9233,0.001154125,1,250,1
9483,0.001185375,2,250,1
9733,0.001216625,3,250,1
9983,0.001247875,4,250,1
10233,0.001279125,5,250,1
10483,0.001310375,6,250,1
10733,0.001341625,7,250,1
10983,0.001372875,0,250,1
11233,0.001404125,1,250,1
11483,0.001435375,2,250,1
11733,0.001466625,3,250,1
11983,0.001497875,4,250,1
12233,0.001529125,5,250,1
12483,0.001560375,6,250,1
12733,0.001591625,7,248,1
12981,0.001622625,0,250,1
13231,0.001653875,1,250,1
13481,0.001685125,2,250,1
13731,0.001716375,3,250,1
13981,0.001747625,4,250,1
14231,0.001778875,5,250,1
14481,0.001810125,6,250,1
14731,0.001841375,7,250,1
14981,0.001872625,0,250,1
15231,0.001903875,1,250,1
15481,0.001935125,2,250,1
15731,0.001966375,3,250,1
15981,0.001997625,4,250,1
16231,0.002028875,5,250,1
16481,0.002060125,6,250,1
16731,0.002091375,7,250,1
16981,0.002122625,0,250,1
17231,0.002153875,1,250,1
17481,0.002185125,2,248,1
17729,0.002216125,3,250,1
17979,0.002247375,4,250,1
18229,0.002278625,5,250,1
18479,0.002309875,6,250,1
18729,0.002341125,7,250,1
18979,0.002372375,0,250,1
19229,0.002403625,1,250,1
19479,0.002434875,2,250,1
19729,0.002466125,3,250,1
19979,0.002497375,4,250,1
20229,0.002528625,5,250,1
20479,0.002559875,6,250,1
20729,0.002591125,7,250,1
20979,0.002622375,0,250,1
21229,0.002653625,1,250,1
21479,0.002684875,2,250,1
21729,0.002716125,3,250,1
21979,0.002747375,4,250,1
22229,0.002778625,5,250,1
22479,0.002809875,6,248,1
22727,0.002840875,7,250,1
22977,0.002872125,0,250,1
23227,0.002903375,1,250,1
23477,0.002934625,2,250,1
23727,0.002965875,3,250,1
23977,0.002997125,4,250,1
24227,0.003028375,5,250,1
24477,0.003059625,6,250,1
24727,0.003090875,7,250,1
24977,0.003122125,0,250,1
25227,0.003153375,1,250,1
25477,0.003184625,2,250,1
25727,0.003215875,3,250,1
25977,0.003247125,4,250,1
26227,0.003278375,5,250,1
26477,0.003309625,6,250,1
26727,0.003340875,7,250,1
26977,0.003372125,0,250,1
27227,0.003403375,1,248,1
27475,0.003434375,2,250,1
27725,0.003465625,3,250,1
27975,0.003496875,4,250,1
28225,0.003528125,5,250,1
28475,0.003559375,6,250,1
28725,0.003590625,7,250,1
28975,0.003621875,0,250,1
29225,0.003653125,1,250,1
29475,0.003684375,2,250,1
29725,0.003715625,3,250,1
29975,0.003746875,4,250,1
30225,0.003778125,5,250,1
30475,0.003809375,6,250,1
30725,0.003840625,7,250,1
30975,0.003871875,0,250,1
31225,0.003903125,1,250,1
31475,0.003934375,2,250,1
31725,0.003965625,3,250,1
